PoliticalEventKey,CountryKey,MonthKey,SumEvents,TotalEvents,NormalizedEvents1000,EventRootCode,EventRootDescr,EventCode,EventDescr,GoldsteinScale,AvgNumMentions,SumNumMentions,AvgAvgTone
0,CAN,12,5,18621,0.26851404328446377,17,COERCE,1721,Impose restrictions on political freedoms  ,-5.0,3.8,19,6.663777194998637
1,CAN,12,45,18621,2.416626389560174,18,ASSAULT,180,"Use unconventional violence, not specified below",-9.0,4.888888888888889,220,3.4082971210073048
2,CAN,12,192,18621,10.31093926212341,17,COERCE,172,"Impose administrative sanctions, not specified below",-5.0,5.098958333333331,979,5.360694036528882
3,CAN,12,28,18621,1.5036786423929969,18,ASSAULT,182,"Physically assault, not specified below",-9.5,4.357142857142858,122,3.605795747309272
4,CAN,12,87,18621,4.67214435314967,18,ASSAULT,181,"Abduct, hijack, or take hostage ",-9.0,3.0804597701149423,268,5.696416204268278
5,CAN,12,1,18621,0.05370280865689276,18,ASSAULT,1823,Kill by physical assault,-10.0,16.0,16,6.64310262446069
6,CAN,12,40,18621,2.1481123462757097,18,ASSAULT,1822,Torture,-9.0,3.75,150,3.595935268906495
7,CAN,12,2,18621,0.10740561731378552,17,COERCE,1724,Impose state of emergency or martial law,-5.0,7.5,15,3.2414698162729647
8,CAN,12,20,18621,1.0740561731378548,17,COERCE,1712,Destroy property,-9.2,3.8,76,5.197283891037207
9,CAN,12,581,18621,31.201331829654695,17,COERCE,173,"Arrest, detain, or charge with legal action ",-5.0,3.8881239242685015,2259,4.389314828272768
10,CAN,12,10,18621,0.5370280865689275,18,ASSAULT,186,Assassinate ,-10.0,4.300000000000002,43,5.291015938363456
11,CAN,12,159,18621,8.538746576445947,19,FIGHT,193,Fight with small arms and light weapons,-10.0,4.867924528301884,774,4.445650460339949
12,CAN,12,1,18621,0.05370280865689276,17,COERCE,171,"Seize or damage property, not specified below",-9.2,3.0,3,3.7292817679557997
13,CAN,12,60,18621,3.2221685194135654,17,COERCE,174,Expel or deport individuals,-5.0,4.083333333333333,245,5.375684712024783
14,CAN,12,9,18621,0.4833252779120348,19,FIGHT,191,"Impose blockade, restrict movement ",-9.5,4.5555555555555545,41,3.2520206433544345
15,CAN,12,4,18621,0.21481123462757104,18,ASSAULT,1832,Carry out car bombing,-10.0,2.75,11,2.2273756355272667
16,CAN,12,7,18621,0.3759196605982493,17,COERCE,170,"Coerce, not specified below ",-7.0,4.428571428571429,31,3.942286355842846
17,CAN,12,22,18621,1.1814617904516405,19,FIGHT,195,Employ aerial weapons,-10.0,2.2727272727272725,50,3.2009943691892766
18,CAN,12,1,18621,0.05370280865689276,17,COERCE,175,Use tactics of violent repression  ,-9.0,9.0,9,3.2085561497326203
19,CAN,12,55,18621,2.9536544761291013,19,FIGHT,192,Occupy territory,-9.5,4.327272727272728,238,4.858171862685116
20,CAN,12,22,18621,1.1814617904516405,18,ASSAULT,1821,Sexually assault,-9.0,4.500000000000001,99,4.4257180384619765
21,CAN,12,23,18621,1.2351645991085334,18,ASSAULT,1831,Carry out suicide bombing,-10.0,4.217391304347825,97,2.5353091026450008
22,CAN,12,1,18621,0.05370280865689276,18,ASSAULT,185,Attempt to assassinate,-8.0,1.0,1,5.10204081632653
23,CAN,12,16,18621,0.8592449385102842,18,ASSAULT,183,"Conduct suicide, car, or other non-military bombing, not spec below",-10.0,3.5000000000000004,56,2.8780156776447647
24,CAN,12,13,18621,0.6981365125396058,19,FIGHT,194,Fight with artillery and tanks,-10.0,3.1538461538461537,41,4.074656185725118
25,CAN,12,647,18621,34.745717201009604,19,FIGHT,190,"Use conventional military force, not specified below",-10.0,4.956723338485316,3207,4.178305948691792
26,MAR,12,22,8312,2.646775745909528,17,COERCE,170,"Coerce, not specified below ",-7.0,4.2727272727272725,94,3.3292120442691613
27,MAR,12,826,8312,99.37439846005778,17,COERCE,173,"Arrest, detain, or charge with legal action ",-5.0,3.884987893462468,3209,3.3735183267743523
28,MAR,12,9,8312,1.082771896053898,19,FIGHT,191,"Impose blockade, restrict movement ",-9.5,4.666666666666667,42,5.239441304254481
29,MAR,12,14,8312,1.6843118383060631,17,COERCE,175,Use tactics of violent repression  ,-9.0,3.2857142857142856,46,2.3515995169018247
30,MAR,12,3,8312,0.3609239653512993,18,ASSAULT,1823,Kill by physical assault,-10.0,5.0,15,6.839616744979524
31,MAR,12,60,8312,7.218479307025987,17,COERCE,172,"Impose administrative sanctions, not specified below",-5.0,3.7166666666666655,223,3.7527612191603668
32,MAR,12,4,8312,0.4812319538017325,17,COERCE,1711,Confiscate property,-9.2,2.75,11,4.471982135212375
33,MAR,12,1,8312,0.12030798845043313,18,ASSAULT,1832,Carry out car bombing,-10.0,2.0,2,6.9908814589665695
34,MAR,12,360,8312,43.31087584215592,19,FIGHT,190,"Use conventional military force, not specified below",-10.0,3.9388888888888896,1418,3.5860587833811324
35,MAR,12,5,8312,0.6015399422521656,17,COERCE,1721,Impose restrictions on political freedoms  ,-5.0,3.4000000000000004,17,4.73694336852232
36,MAR,12,54,8312,6.496631376323387,18,ASSAULT,181,"Abduct, hijack, or take hostage ",-9.0,7.12962962962963,385,4.243665733630195
37,MAR,12,76,8312,9.143407122232917,19,FIGHT,193,Fight with small arms and light weapons,-10.0,3.236842105263158,246,2.8951671565717003
38,MAR,12,18,8312,2.165543792107796,18,ASSAULT,186,Assassinate ,-10.0,2.8888888888888893,52,3.9943102632842464
39,MAR,12,12,8312,1.4436958614051971,18,ASSAULT,182,"Physically assault, not specified below",-9.5,7.583333333333335,91,2.120192640404988
40,MAR,12,7,8312,0.8421559191530317,18,ASSAULT,1831,Carry out suicide bombing,-10.0,7.142857142857142,50,3.859798499783478
41,MAR,12,23,8312,2.767083734359961,19,FIGHT,192,Occupy territory,-9.5,5.521739130434784,127,5.339364156587212
42,MAR,12,52,8312,6.256015399422521,17,COERCE,174,Expel or deport individuals,-5.0,3.9230769230769242,204,3.373048629834134
43,MAR,12,21,8312,2.5264677574590952,19,FIGHT,194,Fight with artillery and tanks,-10.0,2.9047619047619047,61,3.4510493211766406
44,MAR,12,3,8312,0.3609239653512993,19,FIGHT,195,Employ aerial weapons,-10.0,5.0,15,3.4742367445781803
45,MAR,12,1,8312,0.12030798845043313,17,COERCE,171,"Seize or damage property, not specified below",-9.2,23.0,23,5.33741935914137
46,MAR,12,6,8312,0.7218479307025986,18,ASSAULT,183,"Conduct suicide, car, or other non-military bombing, not spec below",-10.0,2.333333333333333,14,4.714474896249938
47,MAR,12,5,8312,0.6015399422521656,17,COERCE,1712,Destroy property,-9.2,3.2,16,3.6843631050362857
48,MAR,12,29,8312,3.4889316650625597,18,ASSAULT,180,"Use unconventional violence, not specified below",-9.0,3.896551724137931,113,3.4608178076071785
49,MAR,12,37,8312,4.4513955726660255,18,ASSAULT,1822,Torture,-9.0,3.5405405405405403,131,5.502152671064931
50,COD,12,96,5722,16.777350576721428,19,FIGHT,193,Fight with small arms and light weapons,-10.0,4.531250000000002,435,3.881906524634152
51,COD,12,1,5722,0.17476406850751486,18,ASSAULT,1823,Kill by physical assault,-10.0,5.0,5,0.0
52,COD,12,4,5722,0.6990562740300593,18,ASSAULT,1822,Torture,-9.0,5.0,20,4.848868487968702
53,COD,12,42,5722,7.340090877315625,18,ASSAULT,1821,Sexually assault,-9.0,4.9523809523809526,208,4.3033045418425795
54,COD,12,10,5722,1.7476406850751485,20,USE UNCONVENTIONAL MASS VIOLENCE,202,Engage in mass killings,-10.0,5.9,59,4.844706421299561
55,COD,12,6,5722,1.0485844110450893,17,COERCE,1721,Impose restrictions on political freedoms  ,-5.0,3.8333333333333335,23,3.8825474819795716
56,COD,12,7,5722,1.223348479552604,17,COERCE,174,Expel or deport individuals,-5.0,2.142857142857143,15,2.1523253027878892
57,COD,12,4,5722,0.6990562740300593,18,ASSAULT,184,Use as human shield ,-8.0,2.25,9,4.886166752788835
58,COD,12,1,5722,0.17476406850751486,19,FIGHT,191,"Impose blockade, restrict movement ",-9.5,2.0,2,2.49110320284698
59,COD,12,2,5722,0.3495281370150297,17,COERCE,170,"Coerce, not specified below ",-7.0,9.0,18,3.68983614951357
60,COD,12,32,5722,5.592450192240475,18,ASSAULT,181,"Abduct, hijack, or take hostage ",-9.0,3.6875,118,3.8817766611060565
61,COD,12,29,5722,5.068157986717932,17,COERCE,1712,Destroy property,-9.2,3.96551724137931,115,3.7970446839810417
62,COD,12,449,5722,78.46906675987417,19,FIGHT,190,"Use conventional military force, not specified below",-10.0,4.632516703786188,2080,3.9536176063444177
63,COD,12,1,5722,0.17476406850751486,17,COERCE,1722,Ban political parties or politicians,-5.0,7.0,7,4.265402843601899
64,COD,12,2,5722,0.3495281370150297,17,COERCE,1711,Confiscate property,-9.2,3.0,6,6.20572293562284
65,COD,12,1,5722,0.17476406850751486,19,FIGHT,194,Fight with artillery and tanks,-10.0,3.0,3,6.51041666666667
66,COD,12,10,5722,1.7476406850751485,18,ASSAULT,182,"Physically assault, not specified below",-9.5,4.0,40,3.9594704167108636
67,COD,12,11,5722,1.9224047535826636,17,COERCE,175,Use tactics of violent repression  ,-9.0,6.7272727272727275,74,3.263135066652396
68,COD,12,1,5722,0.17476406850751486,17,COERCE,171,"Seize or damage property, not specified below",-9.2,3.0,3,0.9036144578313249
69,COD,12,7,5722,1.223348479552604,19,FIGHT,195,Employ aerial weapons,-10.0,6.571428571428572,46,5.856088049432343
