Country Name,"Age dependency ratio, young","GNI per capita, Atlas method (current US$)",Human capital index (HCI) (scale 0-1),"Human capital index (HCI), lower bound (scale 0-1)","Human capital index (HCI), upper bound (scale 0-1)",People using at least basic drinking water services (% of population),People using at least basic sanitation services (% of population),"Population ages 00-04, female (% of female population)","Population ages 00-04, male (% of male population)",Population ages 0-14 (% of total population),"Population ages 0-14, female (% of female population)","Population ages 0-14, male (% of male population)","Population ages 05-09, male (% of male population)","Population ages 10-14, female (% of female population)","Population ages 10-14, male (% of male population)","Population ages 15-19, female (% of female population)","Population ages 15-19, male (% of male population)","Population ages 20-24, female (% of female population)","Population ages 20-24, male (% of male population)","Population ages 45-49, male (% of male population)","Population ages 50-54, male (% of male population)","Population ages 55-59, male (% of male population)","Tuberculosis death rate (per 100,000 people)",Urban population growth (annual %),transformed_High income,transformed_Low income,transformed_Lower middle income,transformed_Upper middle income,hdi
Afghanistan,75.31759545604959,500.0,0.400284141302109,0.38714861869811995,0.4126172661781311,75.09141325,50.49964687,14.5899742065196,14.5543023182762,41.8226014534499,41.9328521054897,41.718008846999204,13.889633522582901,13.404600108188696,13.274073006139998,11.8799861292241,11.903831872474699,10.0738620929971,10.0983792515768,3.3901532643865098,2.64908380019989,2.05933892046386,27.0,3.35442115854384,0,1,0,0,0.496
Albania,25.324655487986398,5210.0,0.6342509388923651,0.624725520610809,0.643478035926819,95.06803883,99.29879315,5.64112870695768,5.9099592138806605,17.2358578454283,16.6132846833101,17.8364513481813,5.98970174382166,5.323384422462612,5.9367903904789605,6.6081611451815405,7.2517911346515405,7.8538744280249,8.013441531930459,5.47984111574,6.04240827902239,6.73537632602679,0.4,0.85386648009412,0,0,0,1,0.7909999999999999
Algeria,49.2744742475225,3570.0,0.534556448459625,0.527311027050018,0.5415102243423461,94.43732996,85.96546957,11.372214017131698,11.619049871697,30.7835156672667,30.4596415165343,31.1007118956705,10.6827548564111,8.62832983096694,8.798907167562339,6.57163458846254,6.700798345819369,6.769581469712612,6.9108886381971,5.48029936884891,4.6345982595858874,3.9176244553532302,7.5,2.5770663370279303,0,0,1,0,0.759
Andorra,0.0,0.0,0.0,0.0,0.0,100.00000370000001,100.00000370000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0765809586482714,1,0,0,0,0.857
Angola,90.24021884301621,2140.0,0.36240538954734797,0.32986369729042,0.38537451624870295,57.16773762,51.66032915,17.2925093394329,17.9788289310474,46.395362394615404,45.7084858791099,47.0968220027588,15.7940134814435,13.1443160832399,13.323979590267902,10.7235610974215,10.773273508736,8.78223454806684,8.75870110270853,3.2024731764044603,2.3145379060284,2.0453272180393802,55.0,4.19296192786897,0,0,1,0,0.574
Antigua and Barbuda,31.7520143639358,13750.0,0.5957038998603821,0.5840800404548651,0.6074146032333371,0.0,0.0,7.155688031741638,7.89100679092005,21.850524359484897,20.833415582621104,22.938924030548602,7.7598426029744605,6.650348407982791,7.28807463665404,6.8892003395250585,7.537709704034362,7.40638386071577,8.09621527851234,6.7062979965728085,6.68302693096956,5.8939262518775495,1.2,0.5363965423564601,1,0,0,0,0.7759999999999999
Argentina,38.06231185242,9070.0,0.602144718170166,0.59166693687439,0.611715614795685,0.0,0.0,7.92005108648425,8.632651804292099,24.4353111421435,23.4157359660678,25.505640898744996,8.56781029070241,7.62979718301121,8.305178803750499,7.51594908131555,8.16249300539803,7.40754453639495,7.9945862755863715,5.797362854779051,5.00458838632571,4.55071139716704,1.5,1.1004150527232601,0,0,0,1,0.83
Armenia,30.924677984306,4220.0,0.578998804092407,0.569216191768646,0.588532090187073,99.97118069,93.93674174,6.186989761622749,7.740500966100731,20.832344833009,18.4708761525263,23.4916380089069,8.153775398260949,5.897786983899831,7.5973616445452405,5.04916574651462,6.5457360625708905,5.32466978063533,6.6674224231514,5.24535658193345,5.051203697658178,6.117107337271402,1.0,0.334547576037799,0,0,0,1,0.76
Australia,29.913278616852196,53690.0,0.770239531993866,0.761949002742767,0.7779680490493771,99.96981182,99.99115238,6.344752421168669,6.7526917284351695,19.2924250165216,18.7104843462235,19.8790892714762,6.622969022236661,6.13008598531269,6.50342852080442,5.799673094577599,6.12251326423136,6.1192901696521,6.388266446170349,6.54823652167065,6.0552540137219575,6.04317396568526,0.22,1.39445750643396,1,0,0,0,0.938
Austria,21.7103710549784,48350.0,0.746739745140076,0.7371965646743771,0.7565202116966251,100.0,99.97260464,4.7693426491593796,5.1887394865994025,14.4121767658946,13.7706387685311,15.072107495769401,4.9552097206765096,4.4899510785557,4.9281582884935,4.79264170324845,5.25946512944257,5.37586257412066,5.92971447787695,6.8767173210928405,8.04673118016546,7.81221035427916,0.46,0.8164100789713741,1,0,0,0,0.914
